month,pct_id,total_gaba
2019-04-01,08P,31527.22222222223
2018-12-01,08P,33296.23333333334
2017-08-01,08P,30987.56111111111
2018-02-01,08P,29904.1
2018-11-01,08P,33234.38888888888
2018-06-01,08P,32367.061111111114
2018-03-01,08P,31834.783333333333
2017-12-01,08P,31362.000000000007
2018-05-01,08P,33186.11666666666
2018-01-01,08R,33168.96111111111
2018-07-01,08R,33032.7
2018-09-01,08R,30915.28888888889
2017-10-01,08R,33852.50555555556
2018-04-01,08R,32762.03888888889
2019-07-01,08X,57329.52777777776
2019-02-01,08X,52872.65000000001
2015-12-01,08X,48297.64444444444
2019-05-01,08X,61470.16666666666
2019-08-01,08X,56159.00555555555
2015-10-01,08X,45060.16666666666
2019-01-01,08X,64461.888888888905
2019-09-01,08X,56049.116666666676
2019-06-01,08X,54084.52777777779
2016-09-01,08X,51772.24999999999
2015-04-01,08X,40718.02777777779
2017-09-01,08X,54513.061111111114
2018-08-01,08X,61144.594444444454
2016-08-01,08X,50279.64444444446
2017-02-01,08X,49928.194444444445
2017-05-01,08X,55799.56666666667
2019-03-01,08X,57623.51111111111
2016-07-01,08X,49816.44444444446
2016-10-01,08X,50438.05555555555
2019-10-01,08X,59267.733333333344
2016-01-01,08X,45239.450000000004
2016-12-01,08X,54479.88888888888
2018-10-01,08X,63476.80555555553
2015-01-01,14Y,56706.727777777785
2015-11-01,14Y,65083.70555555556
2015-09-01,14Y,63474.91666666667
2015-03-01,14Y,60361.98888888889
2015-05-01,14Y,57533.65000000001
2015-07-01,14Y,64977.505555555545
2014-12-01,14Y,61131.25
2017-03-01,14Y,79395.85555555555
2016-02-01,14Y,63674.349999999984
2017-06-01,14Y,80570.47777777778
2015-02-01,14Y,52163.9888888889
2017-11-01,14Y,84230.6777777778
2016-04-01,14Y,68102.3722222222
2017-01-01,14Y,73122.52222222222
2017-07-01,14Y,76956.17222222222
2016-05-01,14Y,69767.03333333331
2015-08-01,14Y,59044.81111111109
2016-11-01,14Y,75448.74444444443
2016-06-01,14Y,70155.22777777778
2017-04-01,14Y,71511.86666666668
2014-11-01,14Y,51104.9222222222
2015-06-01,14Y,62243.78888888886
2016-03-01,14Y,68432.20555555559
2018-12-01,01C,83531.3111111111
2018-08-01,01C,82581.06666666667
2019-10-01,01R,76777.62222222221
2016-10-01,02N,52504.000000000015
2016-12-01,02R,116534.33333333334
2017-02-01,02R,102390.48333333335
2015-04-01,02R,91326.56666666668
2015-10-01,02T,67146.83888888887
2017-07-01,02Y,110982.02777777777
2017-01-01,03A,83288.7388888889
2018-11-01,03H,66815.00555555554
2018-07-01,03Q,138791.7333333333
2016-02-01,03V,22474.699999999997
2015-12-01,05H,63081.42222222222
2015-06-01,05H,55066.18333333333
2015-11-01,05H,56058.40000000001
2017-09-01,05H,69982.20000000003
2016-08-01,05H,62091.82222222223
2015-09-01,05H,55919.222222222226
2016-09-01,05L,191075.04444444456
2016-05-01,05L,177919.8777777778
2016-07-01,05L,185125.4388888889
2016-06-01,05L,184780.59999999998
2018-10-01,06Q,158850.97222222216
2019-05-01,06Q,159625.88333333336
2018-02-01,06Q,134764.74444444443
2017-10-01,06Q,145234.64444444448
2018-01-01,06Q,147824.91666666663
2019-09-01,09D,120881.60555555555
2019-03-01,09D,123011.27777777777
2016-04-01,10K,67759.3
2017-03-01,10K,76691.73333333334
2017-11-01,10K,76550.7
2017-04-01,10V,72019.5
2014-12-01,10V,60994.616666666676
2017-12-01,10V,82222.97777777779
2016-11-01,10V,73479.73333333334
2017-08-01,10V,79555.39999999998
2015-08-01,10V,60062.96111111111
2019-01-01,10X,118270.67222222226
2015-03-01,10X,76565.76111111112
2019-06-01,10X,107150.93333333332
2018-06-01,11X,219182.4222222223
2019-08-01,11X,236382.6611111111
2018-03-01,99F,70855.11111111112
2019-02-01,99F,66951.98333333334
2019-04-01,99G,71243.26666666666
2016-03-01,99G,58506.09444444445
2015-02-01,99K,43017.25000000001
2016-01-01,99K,50642.277777777774
2015-05-01,99K,46082.52777777778
2014-11-01,99N,122739.01111111107
2018-04-01,99N,182531.60000000003
2017-05-01,99N,179450.82222222222
2018-05-01,99N,190059.3333333333
2018-09-01,99N,183061.66666666663
2019-07-01,99N,190410.8388888889
2017-06-01,99N,179933.7833333334
2015-07-01,99N,148958.93888888886
2015-01-01,99N,133303.70555555556
2018-12-01,00M,241895.7888888889
2019-03-01,00M,236496.62777777767
2018-09-01,00M,224417.09444444446
2015-05-01,01F,73724.88888888888
2016-08-01,01F,91807.4388888889
2017-11-01,01F,98924.44444444444
2018-04-01,01F,98741.79444444446
2018-06-01,01F,103385.72777777779
2015-07-01,01F,82867.86666666665
2015-08-01,01F,73602.69999999998
2015-11-01,01F,77734.22222222223
2016-07-01,01F,95513.0388888889
2014-11-01,01F,68316.27777777777
2018-11-01,01F,107244.25555555554
2017-02-01,01J,109343.93888888888
2015-01-01,01J,92156.36111111111
2016-04-01,01J,114503.57777777781
2018-10-01,01J,140113.06111111108
2016-11-01,01J,120638.12777777776
2019-07-01,01J,139155.2666666667
2019-06-01,01J,130989.46666666665
2016-03-01,01J,111130.2611111111
2019-05-01,01J,142848.23888888888
2019-08-01,01J,140373.67777777778
2017-03-01,01J,130399.4388888889
2017-06-01,01J,127652.89444444444
2017-08-01,01J,123556.37222222221
2018-01-01,01J,130130.28333333334
2016-10-01,01J,111734.82222222222
2017-09-01,01J,124614.76666666662
2019-09-01,01J,134926.7388888889
2016-06-01,01J,111308.46666666666
2018-03-01,01J,132812.0
2017-05-01,01J,124072.05555555555
2016-12-01,01J,121014.98888888887
2017-01-01,01J,116836.28333333334
2015-03-01,01J,95100.44444444448
2019-04-01,01J,134474.4111111111
2015-04-01,01J,95386.9222222222
2018-02-01,01J,118454.66111111111
2019-10-01,01J,141064.16666666666
2017-12-01,01J,131039.08888888884
2017-07-01,01J,123483.12222222226
2018-05-01,01J,136881.24444444446
2017-10-01,01J,128279.14444444445
2018-08-01,01J,136555.4666666667
2018-07-01,01J,134231.17777777778
2017-04-01,01J,115890.16666666669
2019-01-01,01J,138054.04999999996
2016-02-01,01X,123953.89444444442
2015-06-01,01X,122102.5888888889
2015-09-01,01X,120814.94444444442
2015-02-01,01X,102516.17222222223
2015-12-01,01X,135980.03333333333
2016-09-01,01X,139546.94444444447
2016-01-01,01X,119562.81666666665
2014-12-01,01X,116560.44999999998
2015-10-01,01X,125002.98333333335
2016-05-01,01X,128603.36666666671
2019-02-01,03T,183233.71666666665
2017-04-01,00Q,69212.17222222223
2016-07-01,01E,79853.48333333335
2017-01-01,01E,83127.80555555555
2019-05-01,01K,167737.14444444445
2018-03-01,01K,156635.83888888892
2019-04-01,01K,159485.73333333334
2018-08-01,01K,162580.4388888889
2017-08-01,01K,152784.44444444444
2015-07-01,01K,126009.5611111111
2019-01-01,01W,149700.7777777778
2018-02-01,01W,127084.03333333337
2016-12-01,01W,132111.1166666667
2015-01-01,01W,100694.37777777777
2017-10-01,02A,107277.96666666667
2015-12-01,02A,96311.53333333331
2017-05-01,02A,104909.23333333334
2015-02-01,02A,73729.27222222221
2019-10-01,02D,53131.63333333334
2017-03-01,03D,63431.45
2019-03-01,03D,65677.37777777779
2015-11-01,03D,50766.899999999994
2016-09-01,03D,58413.85555555557
2019-08-01,03D,69367.0
2019-09-01,03D,66700.87777777779
2019-06-01,03D,64460.85555555556
2018-05-01,03D,66400.06666666668
2016-08-01,03D,57661.338888888895
2015-06-01,03K,59837.65
2018-06-01,03K,80809.29999999999
2018-09-01,03K,78238.08888888889
2017-06-01,03K,75890.44444444445
2017-11-01,03K,76298.76666666665
2014-11-01,03K,52583.84444444444
2015-08-01,03K,58238.07222222221
2016-11-01,03M,49472.4
2015-04-01,03N,201983.27222222224
2016-01-01,03N,206534.07777777765
2016-02-01,03N,210946.39999999997
2015-09-01,04E,69521.09444444445
2018-11-01,04H,63620.977777777785
2018-10-01,04H,65338.74999999999
2015-10-01,05Q,79109.6
2019-07-01,05Q,102901.82222222224
2014-12-01,05Q,75265.59999999999
2016-03-01,05Q,83392.31666666665
2017-07-01,05Q,94235.66666666666
2016-06-01,05Q,85621.53888888887
2015-05-01,05W,94771.86666666667
2018-07-01,05X,85832.93333333333
2016-05-01,05X,67465.58888888887
2016-04-01,05X,71825.08333333333
2016-10-01,07K,97507.86666666668
2015-03-01,09E,73426.04444444446
2017-02-01,09E,85105.97222222223
2017-12-01,14L,292381.4833333332
2018-01-01,15N,552699.2611111109
2018-04-01,15N,543213.3999999999
2017-09-01,99D,71665.67777777778
2019-02-01,99D,71118.30555555556
2018-12-01,99D,79074.11666666667
2016-08-01,00C,55008.283333333326
2017-08-01,00C,61264.25000000001
2018-11-01,00J,156437.03888888893
2017-05-01,00L,179746.5833333333
2018-12-01,00L,192022.87222222227
2016-09-01,00L,170915.68888888892
2016-10-01,00L,163424.27777777775
2016-11-01,00L,169998.85555555555
2018-10-01,00L,200147.23333333334
2016-02-01,00N,70860.63888888889
2019-06-01,00N,85959.09444444445
2015-04-01,00P,120718.38333333338
2016-03-01,00R,83630.00555555556
2015-02-01,00Y,94816.22777777776
2016-04-01,00Y,124324.82222222224
2017-04-01,00Y,128587.85555555554
2017-11-01,01D,133724.64999999997
2018-08-01,01D,141364.32222222222
2017-06-01,01D,131283.25555555554
2018-01-01,01D,136353.8333333333
2017-02-01,01G,129686.75000000001
2018-05-01,01G,163622.63888888888
2019-07-01,01G,163240.75000000006
2019-09-01,01G,157830.35
2016-01-01,01G,119757.05555555556
2017-10-01,01G,155803.18333333338
2016-06-01,01G,133990.43888888884
